,,,,,,,,,,,
,売上,7900000,進捗率,目標,▲支出,3495859,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,7100000,0.3070208003,23125469,▲投稿制作費（外注費、コスメ代）,817011,←未確定,モテコスメちゃん,1830000,550000,1280000
,モテコスメちゃん,1430000,0.4521836359,3162432.0,▲販管費,2678848.0,←未確定,ビビちゃん,900000,0,900000
,ビビちゃん,800000,0.2314750516,3456096.0,,,,美容探偵,0,0,0
,美容探偵,0,0,2129837.0,粗利,,,合計,2730000,550000,2180000
,突撃ちゃん,750000,0.5665337201,1323840.0,7082989,,,,,,
,肌コミちゃん,620000,0.3942816443,1572480.0,営業利益,,2020000,制作原価,817011,3メディア分,272337
,コスメ怪獣ちゃん,1100000,0.7694029433,1429680.0,4404141,,1212000,,,,
,韓国オンニ,500000,0.3932598409,1271424.0,,,,,,,
,成分オタクちゃん,900000,0.1879699248,4788000.0,目標,,4514160,売上報告,False,,
,コスメ女子会ズ,700000,0.4269125683,1639680.0,,,2708496,制作原価請求,False,,
,コスメ語りたい倶楽部,300000,0.1984126984,1512000.0,18965732.0,,,,,,
,新規,0.0,0,840000.0,,,,,,,
,Instagram売上,800000,,,,,,,,,
,YouTube売上,,,,0.2322157141,,,,,,
,運用代行,,,,,,,,,,
,,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,モテコスメちゃん,ウテナ_ゆず油,デジタルガレージ,,投稿制作費,550000.0,進行中,再修正費用確認中,ライスカレー,,
,モテコスメちゃん,byTREES,ボーテ・ド・モード,,投稿制作費,280000.0,進行中,,,,
,モテコスメちゃん,UNOVE,ミツバチ,,投稿制作費,300000.0,進行中,SparkAds(1ヶ月)含む,,,
,モテコスメちゃん,ハートパーセント,直,,投稿制作費,300000.0,投稿完了,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,ビビちゃん,BRAYE,イグニス,,投稿制作費,400000.0,投稿完了,IG、YTs転載あり,,,
,ビビちゃん,manyo,カルタ,,投稿制作費,400000.0,投稿完了,SparkAds(1ヶ月)含む,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,ビビちゃん,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,美容探偵,,,,,,,,,,
,美容探偵,,,,,,,,,,
,美容探偵,,,,,,,,,,
,美容探偵,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,突撃ちゃん,UNOVE,ミツバチ,,投稿制作費,200000.0,進行中,SparkAds(1ヶ月)含む,,,
,突撃ちゃん,【skin1004】直(9月),,,投稿制作費,250000.0,投稿完了,,,,
,突撃ちゃん,【ダーマレーザー】OMOT,,,投稿制作費,300000.0,投稿完了,SparkAds(1ヶ月)含む,,,
,突撃ちゃん,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,肌コミちゃん,【skin1004】直(9月),,,投稿制作費,200000.0,投稿完了,(バルク割10万円引適用済),,,
,肌コミちゃん,【ダーマレーザー】OMOT,,,投稿制作費,300000.0,投稿完了,SparkAds(1ヶ月)含む,,,
,肌コミちゃん,すっぽん小町,cogu,,二次利用費,120000.0,進行中,9/19からの3ヶ月間,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,肌コミちゃん,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,コスメ怪獣ちゃん,UNOVE,ミツバチ,,投稿制作費,200000.0,進行中,SparkAds(1ヶ月)含む,,,
,コスメ怪獣ちゃん,【skin1004】直(9月),,,投稿制作費,250000.0,投稿完了,IG掲載あり,,,
,コスメ怪獣ちゃん,BRAYE,イグニス,,投稿制作費,300000.0,投稿完了,IG、YTs転載あり,,,
,コスメ怪獣ちゃん,ロレアル インタビュー,株式会社イニシャル,,インタビュー,50000.0,投稿完了,,,,
,コスメ怪獣ちゃん,【ダーマレーザー】OMOT,,,投稿制作費,300000.0,投稿完了,SparkAds(1ヶ月)含む,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,韓国オンニ,【skin1004】直(9月),,,投稿制作費,200000.0,投稿完了,(バルク割10万円引),,,
,韓国オンニ,ハートパーセント,直,,投稿制作費,300000.0,投稿完了,,,,
,韓国オンニ,,,,,,,,,,
,韓国オンニ,,,,,,,,,,
,韓国オンニ,,,,,,,,,,
,韓国オンニ,,,,,,,,,,
,韓国オンニ,,,,,,,,,,
,韓国オンニ,,,,,,,,,,
,韓国オンニ,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,成分オタクちゃん,manyo,カルタ,,投稿制作費,400000.0,投稿完了,SparkAds(1ヶ月)含む,,,
,成分オタクちゃん,【BOHEAL BOH】OMOT,,,投稿制作費,500000.0,進行中,,,,
,成分オタクちゃん,,,,,,,,,,
,成分オタクちゃん,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,女子会ズ,センテリアン,JDTC,,投稿制作費,400000.0,投稿完了,,,,
,女子会ズ,BRAYE,イグニス,,投稿制作費,300000.0,投稿完了,,,,
,女子会ズ,,,,,,,,,,
,女子会ズ,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,語りたい倶楽部,【ダーマレーザー】OMOT,,,投稿制作費,300000.0,投稿完了,SparkAds(1ヶ月)含む,,,
,IGタイアップ,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
,モテコスメちゃん,Vaseline ハンド&ネイル,Natee,,IGリール,100000.0,進行中,,,,
,モテコスメちゃん,【skin1004】直(9月),,,IGリール,100000.0,投稿完了,,,,
,ビビちゃん,【skin1004】直(9月),,,IGリール,100000.0,投稿完了,,,,
,コスメ怪獣ちゃん,【黒龍堂】anyglo①,,,IGリール,100000.0,投稿完了,,,,
,コスメ怪獣ちゃん,【黒龍堂】anyglo②,,,IGリール,100000.0,進行中,,,,
,コスメ怪獣ちゃん,【CORALHAZE】bibin,,,IGリール,100000.0,進行中,,,,
,モテコスメちゃん,【THE FLOWER SHOP】株式会社ｆ−ｍｅ,,,IGリール,100000.0,進行中,,,,
,モテコスメちゃん,Tottimo!ブリーチケアマスク Instagram固定費広告案件,brandconnect,,IGリール,100000.0,進行中,税込,NADESIKO,,
,,,,,,,,,,,
