Unnamed: 0,Reporting,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241
,,2025-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-02-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-03-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-06-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-08-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,2025-12-01 00:00:00,,,,,,,,,,,,,,,,,,,
,Profitability,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total
,Total Revenue,8660.99614906,1871511.26659353,3160056.123151083,1702667.046372843,1804598.94137335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8547494.373639867,11990.97301258,2563337.47062985,3125921.564907527,1672028.209904046,1527672.3935097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8900950.611963702,17018.60083945,3244278.03870128,4091342.009512093,1245189.124051324,1119321.64757355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9717149.420677695,17199.27263322,2572742.44011023,3301623.786824252,706523.268909116,1638099.4131909502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8236188.181667769,5238.9323249342,2881834.04810366,3227728.943859999,641602.449147938,1585369.2078990801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341773.581335612,5250.9754098,3323129.15443521,3505501.2699426142,1973406.110543006,2120612.30952892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10927899.81985955,9422.90518255999,2673579.20718774,3788923.4219870884,416264.8102118928,2150574.06501305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9038764.409582332,-5150.33280517039,2544629.04719549,3777284.4023292,338276.8413026788,2052424.49342837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8707464.451450568,12469.3668712299,2947883.03747172,3759613.6666275323,3119621.821753027,3467017.81252835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13306605.705251858,1349.83101139,2390741.67769625,3629347.764818581,65631.52585410711,2447608.47064396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8534679.270024288,11487.9715209161,1960578.08682518,3888374.979460137,49516.820222095965,2616847.73977632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8526805.597804649,8861.35844291687,2926815.47474604,4440526.35472178,2802917.12421378,3706040.17889103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13885160.491015546
,Total Cost,460.97419873000035,898439.7938693211,1910915.006487265,1302790.778149597,917117.4173683601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5029723.970073273,9397.59837613001,1523739.78950193,2161500.8886121484,1295388.21444572,607858.579624651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5597885.070560579,14285.286710670009,1907973.02221525,2685946.0975098438,875474.1664298116,-182580.02741033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5301098.545455245,18849.01222975,1152683.5745093198,2094517.218540883,488614.4421036309,659321.9777312102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413986.2251147935,3028.0905647754,1462754.6112050998,2047178.33475655,427363.6611715292,589705.0518991901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4530029.749597144,-4700.2216008737005,1894888.62630242,2323897.6052112454,1494314.387277048,899754.5823220399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6608154.979511879,892.5038257651904,1626605.6294510602,2474149.7379213194,285532.4823203047,970921.3273996492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358101.680918099,5672.946571621809,1273725.9030277,2511336.48671405,259726.73072090512,870350.932740306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4920812.999774583,5962.5676065399,1233329.88991049,2491678.7854172634,2347403.480206419,1471471.66150295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7549846.384643662,3960.9844888766,1350817.13348224,2345496.2955141515,42097.95077417006,1165584.503153711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4907956.867413149,21284.845041784392,1139526.5280730461,2628958.518590808,67512.71455559999,1156921.80929885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5014204.415560089,-2055.524481540031,1425861.42070504,2825215.3068991797,2026217.6181915998,1667822.578346401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7943061.39966068
,Gross Profit,8200.02195033,973071.472724209,1249141.116663818,399876.2682232459,887481.52400499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517770.4035665933,2593.37463644999,1039597.68112792,964420.676295379,376639.995458326,919813.813885049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3303065.5414031236,2733.31412877999,1336305.01648603,1405395.9120022492,369714.95762151247,1301901.67498388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4416050.875222452,-1649.73959653,1420058.86560091,1207106.568283369,217908.82680548512,978777.43545974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822201.956552974,2210.8417601588,1419079.43689856,1180550.6091034492,214238.7879764088,995664.1559998901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3811743.831738467,9951.1970106737,1428240.52813279,1181603.664731369,479091.7232659579,1220857.72720688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4319744.840347671,8530.4013567948,1046973.57773668,1314773.684065769,130732.3278915881,1179652.737613401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680662.728664233,-10823.2793767922,1270903.14416779,1265947.91561515,78550.1105817737,1182073.560688064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3786651.4516759855,6506.79926469,1714553.14756123,1267934.881210269,772218.341546608,1995546.1510254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5756759.320608197,-2611.1534774866,1039924.54421401,1283851.4693044291,23533.57507993705,1282023.9674902488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3626722.4026111383,-9796.87352086829,821051.558752134,1259416.460869329,-17995.89433350403,1459925.93047747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512601.1822445607,10916.8829244569,1500954.054041,1615311.0478226,776699.50602218,2038217.6005446292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5942099.091354866
,Gross Profit %,0.9467758453188978,0.5199388804617592,0.39529080117039944,0.23485288511050603,0.4917887867813952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41155574368264664,0.21627724737010268,0.40556411047682905,0.30852363255759074,0.22525935461336538,0.60210148314054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3710913233203988,0.16060745266696813,0.4118959597621194,0.34350487168630706,0.2969147019358913,1.163116676789129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45445950083110553,-0.09591914912399062,0.551963089449431,0.36560996837391163,0.3084241332092856,0.5975079580506789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46407414112519774,0.42200235144029424,0.49242233008953457,0.3657527102296403,0.3339120482799319,0.6280329850226731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45694645084434954,1.8951139996012136,0.429787848066811,0.33707124138360733,0.24277401428240744,0.5757100068319821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3952950623227062,0.9052835820297709,0.3915999851143221,0.34700455449591544,0.3140604842985429,0.5485292307783143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40720861412896486,2.1014718439023534,0.4994453496349456,0.33514763008962845,0.23220658641390612,0.5759400964434644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43487417867610945,0.5218227462456728,0.5816218370155326,0.3372513757105363,0.24753588276692812,0.575580011101856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4326241754000508,-1.9344299067464323,0.43497988675049787,0.35374165070362296,0.35857120147183597,0.5237863746863695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4249395071410595,-0.8527940292184015,0.41878034048706836,0.32389274890463027,-0.363429926493416,0.5578948703382567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411948078556984,1.2319649402268642,0.5128283853191113,0.3637656707306733,0.2771039854558828,0.5499718033695283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4279460143942684
,Total Local SGA,0,521011.2114819297,785551.3272390183,77883.24618576687,972795.4320028091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357241.216909524,0,502016.77443823393,739032.2153680958,104443.92341096608,958576.5561907467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304069.4694080427,0,562473.8908588254,761706.7229843016,83851.49645133309,1094187.2873424818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502219.397636942,0,560624.607710573,733249.2154090155,75449.35321628644,970812.447625498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340135.623961373,0,566594.0866286451,790853.8526281589,143319.12628010634,905437.473837509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2406204.5393744195,0,690611.9580159778,754523.7538616323,65039.6573110929,1124484.82056835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634660.189757053,0,626413.5940188327,775705.8713731628,65765.58198872193,956610.3686205022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424495.4160012193,0,592033.6627310817,742600.8064442117,57866.80422621425,976824.61692455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369325.890326058,0,682007.9537009349,666302.0946249714,135360.63031683926,1291062.1050622077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774732.7837049533,0,646508.4826201427,660878.3473012977,43421.85588726637,1063733.514889315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414542.200698022,0,657302.4215496996,714212.5748558827,198780.35455743686,1230725.811343111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801021.1623061304,0,619251.1990878902,696027.1604665687,39256.194187507834,1421483.116394414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776017.670136381
,Operating Profit b/f Corporate allocation,8200.02195033,452060.26124227926,463589.78942479973,321993.02203747904,-85313.90799781913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160529.186657069,2593.37463644999,537580.9066896861,225388.46092728316,272196.07204735995,-38762.74230569776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998996.0719950815,2733.31412877999,773831.1256272047,643689.1890179475,285863.46117017936,207714.38764139824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913831.47758551,-1649.73959653,859434.257890337,473857.3528743535,142459.47358919866,7964.98783424194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482066.3325916012,2210.8417601588,852485.350269915,389696.7564752903,70919.66169630247,90226.68216238101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405539.2923640474,9951.1970106737,737628.5701168122,427079.9108697366,414052.065954865,96372.90663853008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685084.6505906177,8530.4013567948,420559.9837178474,539067.8126926061,64966.74590286617,223042.36899289873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256167.312663013,-10823.2793767922,678869.4814367082,523347.10917093826,20683.30635555945,205248.94376351393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417325.5613499274,6506.79926469,1032545.1938602951,601632.7865852976,636857.7112297688,704484.0459631924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2982026.5369032435,-2611.1534774866,393416.06159386726,622973.1220031314,-19888.28080732932,218290.45260093384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212180.2019131165,-9796.87352086829,163749.13720243436,545203.8860134464,-216776.2488909409,229200.11913435883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711580.0199384304,10916.8829244569,881702.8549531099,919283.8873560313,737443.3118346721,616734.484150215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3166081.421218485
,Corporate Cost Allocation,0,188095.26734619692,128303.52315440324,17250.701639196457,166737.28596542325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500386.7781052198,0,243105.78521044785,151095.66436284664,20070.284083311686,199799.23637540132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614070.9700320074,0,255221.94021043796,143491.99587143972,19612.16324147752,197231.93429306697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615558.0336164222,0,312145.66055360617,167431.95781591916,22109.787256465108,215214.08234919372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716901.4879751841,0,408401.0372827563,232548.80037787068,32220.51032372022,288948.32557826117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962118.6735626083,0,369942.05082854256,220489.75463748764,18357.191057332275,261147.5316983936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869936.5282217562,0,396516.9832343939,229275.52810830905,19846.238736575327,273720.47607810586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919359.2261573841,0,419268.75311835046,231528.25159796517,21021.712845466,283449.5544637242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955268.2720255058,0,375070.86109595594,216915.69232075333,16324.067006701125,249858.01722693018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858168.6376503406,0,372568.953048087,199008.6614965412,14338.085934648881,225829.9372516265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811745.6377309036,0,498583.89627991314,270078.2762190958,16760.371385542967,291120.5162196995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076543.0601042514,0,373348.85314251145,204893.93790644302,12626.29673179897,202862.42268829234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793731.5104690458
,Operating Profit,8200.02195033,263964.99389608233,335286.2662703965,304742.3203982826,-252051.19396324237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660142.4085518491,2593.37463644999,294475.12147923827,74292.79656443652,252125.78796404827,-238561.97868109908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384925.101963074,2733.31412877999,518609.1854167667,500197.19314650784,266251.29792870185,10482.45334833127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298273.4439690877,-1649.73959653,547288.5973367309,306425.39505843434,120349.68633273356,-207249.09451495178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765164.8446164171,2210.8417601588,444084.31298715866,157147.9560974196,38699.15137258225,-198721.64341588016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443420.6188014392,9951.1970106737,367686.5192882697,206590.15623224893,395694.87489753275,-164774.62505986352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815148.1223688616,8530.4013567948,24043.000483453507,309792.2845842971,45120.507166290845,-50678.10708520713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336808.0865056291,-10823.2793767922,259600.72831835778,291818.8575729731,-338.40648990655245,-78200.61070021027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462057.28932442184,6506.79926469,657474.3327643392,384717.0942645442,620533.6442230677,454626.0287362622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123857.899252903,-2611.1534774866,20847.10854578024,423964.4605065902,-34226.3667419782,-7539.48465069267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400434.5641822129,-9796.87352086829,-334834.7590774788,275125.6097943506,-233536.62027648385,-61920.39708534069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-364963.0401658211,10916.8829244569,508354.0018105984,714389.9494495883,724817.0151028731,413872.0614619227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2372349.910749439
