Unnamed: 0,Employee Data Details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,Country,AJP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Employee Expense,,,,,,,,,,,,,FTE,,,,,,,,,,,
,Location,Department,2501,2502.0,2503.0,2504.0,2505.0,2506.0,2507.0,2508.0,2509.0,2510.0,2511.0,2512.0,,2501,2502.0,2503.0,2504.0,2505.0,2506.0,2507.0,2508.0,2509.0,2510.0,2511.0,2512.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local BU,,,,,,,,,,,,,,,,,,,,,,,,,,
,BM,,240339.149849875,297944.254503247,285855.422490358,344608.537649798,353512.285806825,448203.118869483,349824.730609728,344613.117076543,423141.479202549,381846.010473592,378554.285688777,339633.481018559,,69.28146,78.6587687999999,86.5419377,95.2456266666667,102.665973333333,103.8634136,103.89908,104.871406666666,101.89613,108.951556666666,112.392083333333,107.243953333333
,PM,,42795.6646306419,45914.25976753,42869.54046948,45455.284123788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.3,11.3,12.3,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,BC,,30969.527115142,27121.4648300371,24577.6100510376,32697.4118427528,33225.9754904595,23680.029865296,83774.221051864,93977.43694735,92395.605605075,84099.79985204,81267.3692185739,75368.6006021599,,7.57558333333333,6.90702966666666,7.2146915,8.53,8.73,7.0,24.49028,25.6423766666666,24.9457566666666,25.40219,24.9988533333333,21.84204
,PG Web,,152706.465126138,157892.948537906,156736.545260631,166455.430649244,170073.832454595,180121.87443831,183849.325830439,157865.39277505,158108.844663,158825.837663849,154211.696297669,136054.71252276,,41.4206099999999,42.1042833333333,41.77387,40.0491666666666,40.9951266666666,44.2874433333333,43.22226,43.1570433333333,43.9843533333333,43.31716,43.8648166666666,41.8773366666666
,PG App,,51053.321958562,52381.1044325939,51702.015989688,70386.715043436,70183.9178153549,66823.20614823,58455.57718052,54834.66502679,56511.350995,53447.57154163,57677.7890330399,54620.80192796,,13.5456066666666,13.8070966666666,13.7974766666666,17.7191,17.5310133333333,17.6960333333333,16.8546533333333,14.7549599999999,14.9454966666666,14.8795933333333,17.0169333333333,16.97817
,CG,,27955.92192162,28349.04313232,29878.72489152,30448.99500456,28836.505143,20489.74628274,20288.90821504,17406.5781492599,14767.9589384999,14026.9576882399,14141.9773077,11793.1881901599,,7.39033333333333,7.4268,7.59536666666666,7.62843666666666,8.10901666666666,5.16052333333333,5.20029666666666,5.25814666666666,4.43478666666666,4.19293333333333,3.77816666666666,3.62688666666666
,D2C Creator,,118437.47346508,118099.41595993,126520.16554024,128806.691197007,127903.739162129,119325.603442752,132596.771857488,106303.834912756,104756.486563999,89711.337751728,91674.923709204,84038.4770436799,,26.99,28.5776666666666,28.75,28.4253333333333,28.43625,27.6285,28.4615,26.4846666666666,24.1571666666666,21.42543,21.69633,19.79828
